Texte,Nombre_Likes,Nombre_Retweets,Followers_Utilisateur,Utilisateur,Date_Publication,sentiment,score,Sentiment_Label,Sentiment_Score
Cest toujours quand cest un noir qui doit gagner le ballon dor quon se met à remarquer les joueurs défensifs les gardiens les préparateurs physiques les vigiles etc,13387,3362,1273,E_H_M_D__96,Mon Oct 28 16:50:15 +0000 2024,NEGATIVE,0.984602689743042,NEGATIVE,0.9656981229782104
Le ballon dor féminin cest comme quand on donne une manette débranché à un petit pour quil la ferme,36992,4548,1044,namekoisvnr,Mon Oct 28 21:22:43 +0000 2024,NEGATIVE,0.984602689743042,NEGATIVE,0.6385019421577454
Cest carrément gênant  tout façon cest vini notre ballon dor à nous ,1465,200,12318,Manzala_,Mon Oct 28 21:45:49 +0000 2024,NEGATIVE,0.984602689743042,NEGATIVE,0.9285140037536621
Jour de    Golden Boy  Trophée Kopa  Top 10 ballon dor   Le tout en ayant 16 ans  ,9064,580,24125,MarshallFCB,Sun Oct 27 23:47:51 +0000 2024,NEGATIVE,0.984602689743042,POSITIVE,0.9913523197174072
Rodri ma fait vibrer la saison passée donc je comprendrai totalement sil était ballon dor devant Vini et Bellingham Ses contrôles ses courses et comment il oriente le jeu à City franchement si jétais un fils de chien cest ce que jaurai dis Vinicius va les insulter stp,5866,1260,13310,miraiijo,Mon Oct 28 15:32:34 +0000 2024,NEGATIVE,0.984602689743042,NEGATIVE,0.986125648021698
 FLASH  Kylian Mbappé reçoit le ballon dor pour avoir réussi à tirer en Suède   ,5586,234,169755,Pediavenir,Mon Oct 28 20:39:54 +0000 2024,NEGATIVE,0.984602689743042,NEGATIVE,0.5466742515563965
Pour ceux qui nont pas compris Pourquoi Vinicius na pas été ballon dor voici une explication   ,2289,249,247513,luca_varan,Wed Oct 30 11:23:00 +0000 2024,NEGATIVE,0.984602689743042,NEGATIVE,0.9702581167221069
Rodri ballon dor au lieu de Vinicius  toutes les célébrités qui ont réagi au plus gros vol de lhistoire du football   Thread  ,14436,1325,10134,Rizark213,Mon Oct 28 23:19:55 +0000 2024,NEGATIVE,0.984602689743042,NEGATIVE,0.9528967142105103
Tu las peut être perdu ici ton Ballon dOr  ,31451,3288,112084,Loguito6,Mon Oct 28 15:15:05 +0000 2024,NEGATIVE,0.984602689743042,NEGATIVE,0.92027747631073
Vinicius est vraiment détestable avec ce genre de comportement anti sportif je comprends maintenant pourquoi il na pas gagné le ballon dor  rmadridinfo ,969,94,247513,luca_varan,Wed Oct 30 11:13:05 +0000 2024,NEGATIVE,0.984602689743042,NEGATIVE,0.9871008396148682
